,vehicle-name,vehicle-id,start-latitude,start-longitude,end-latitude,end-longitude,start-time,end-time,capacity,speed-multiplier,cost-per-km,cost-per-hour,waiting-cost-per-hour,fixed-cost,skills,number-of-vehicles,day
0,R4013,RBV-5910-3_1_4,53.48534225,-113.55742250000002,53.48534225,-113.55742250000002,102.0,110.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,4.0
0,R4013,RBV-5910-3_1_5,53.48534225,-113.55742250000002,53.48534225,-113.55742250000002,126.0,134.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,5.0
0,R4013,RBV-5910-3_1_6,53.48534225,-113.55742250000002,53.48534225,-113.55742250000002,150.0,158.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,6.0
0,P4079,RBV-5910-4_1_0,53.48534225,-113.55742250000002,53.48534225,-113.55742250000002,6.0,14.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,0.0
0,P4079,RBV-5910-4_1_1,53.48534225,-113.55742250000002,53.48534225,-113.55742250000002,30.0,38.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,1.0
0,P4079,RBV-5910-4_1_2,53.48534225,-113.55742250000002,53.48534225,-113.55742250000002,54.0,62.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,2.0
0,P4079,RBV-5910-4_1_3,53.48534225,-113.55742250000002,53.48534225,-113.55742250000002,78.0,86.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,3.0
0,T4086,OKY-5910-1_1_4,53.52408381,-113.50295770000001,53.52408381,-113.50295770000001,102.0,110.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,4.0
0,T4086,OKY-5910-1_1_5,53.52408381,-113.50295770000001,53.52408381,-113.50295770000001,126.0,134.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,5.0
0,T4086,OKY-5910-1_1_6,53.52408381,-113.50295770000001,53.52408381,-113.50295770000001,150.0,158.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,6.0
0,T4086,OKY-5910-1_1_0,53.52408381,-113.50295770000001,53.52408381,-113.50295770000001,6.0,14.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,0.0
0,V4432,ASY-1590-1_1_3,53.42626956,-113.57132730000001,53.42626956,-113.57132730000001,78.0,86.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,3.0
0,V4432,ASY-1590-1_1_4,53.42626956,-113.57132730000001,53.42626956,-113.57132730000001,102.0,110.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,4.0
0,V4432,ASY-1590-1_1_5,53.42626956,-113.57132730000001,53.42626956,-113.57132730000001,126.0,134.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,5.0
0,V4432,ASY-1590-1_1_6,53.42626956,-113.57132730000001,53.42626956,-113.57132730000001,150.0,158.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,6.0
0,X4247,MWD-5910-1_2_3,53.45417787,-113.4393666,53.45417787,-113.4393666,246.0,254.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,10.0
0,X4247,MWD-5910-1_2_4,53.45417787,-113.4393666,53.45417787,-113.4393666,270.0,278.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,11.0
0,X4247,MWD-5910-1_2_5,53.45417787,-113.4393666,53.45417787,-113.4393666,294.0,302.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,12.0
0,X4247,MWD-5910-1_2_6,53.45417787,-113.4393666,53.45417787,-113.4393666,318.0,326.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,13.0
0,X4247,MWD-5910-1_2_0,53.45417787,-113.4393666,53.45417787,-113.4393666,174.0,182.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,7.0
0,T4090,MWD-5910-2_2_3,53.45417787,-113.4393666,53.45417787,-113.4393666,246.0,254.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,10.0
0,T4090,MWD-5910-2_2_4,53.45417787,-113.4393666,53.45417787,-113.4393666,270.0,278.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,11.0
0,T4090,MWD-5910-2_2_5,53.45417787,-113.4393666,53.45417787,-113.4393666,294.0,302.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,12.0
0,T4090,MWD-5910-2_2_6,53.45417787,-113.4393666,53.45417787,-113.4393666,318.0,326.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,13.0
0,T4090,MWD-5910-2_2_0,53.45417787,-113.4393666,53.45417787,-113.4393666,174.0,182.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,7.0
0,R4008,MWD-5910-3_2_3,53.45417787,-113.4393666,53.45417787,-113.4393666,246.0,254.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,10.0
0,R4008,MWD-5910-3_2_4,53.45417787,-113.4393666,53.45417787,-113.4393666,270.0,278.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,11.0
0,R4008,MWD-5910-3_2_5,53.45417787,-113.4393666,53.45417787,-113.4393666,294.0,302.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,12.0
0,R4008,MWD-5910-3_2_6,53.45417787,-113.4393666,53.45417787,-113.4393666,318.0,326.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,13.0
0,R4008,MWD-5910-3_2_0,53.45417787,-113.4393666,53.45417787,-113.4393666,174.0,182.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,7.0
0,R4008,MWD-5910-3_2_1,53.45417787,-113.4393666,53.45417787,-113.4393666,198.0,206.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,8.0
0,R4008,MWD-5910-3_2_2,53.45417787,-113.4393666,53.45417787,-113.4393666,222.0,230.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,9.0
0,R4010,MWD-5910-4_2_3,53.45417787,-113.4393666,53.45417787,-113.4393666,246.0,254.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,10.0
0,R4010,MWD-5910-4_2_4,53.45417787,-113.4393666,53.45417787,-113.4393666,270.0,278.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,11.0
0,R4010,MWD-5910-4_2_5,53.45417787,-113.4393666,53.45417787,-113.4393666,294.0,302.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,12.0
0,R4010,MWD-5910-4_2_6,53.45417787,-113.4393666,53.45417787,-113.4393666,318.0,326.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,13.0
0,R4010,MWD-5910-4_2_0,53.45417787,-113.4393666,53.45417787,-113.4393666,174.0,182.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,7.0
0,R4010,MWD-5910-4_2_1,53.45417787,-113.4393666,53.45417787,-113.4393666,198.0,206.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,8.0
0,R4010,MWD-5910-4_2_2,53.45417787,-113.4393666,53.45417787,-113.4393666,222.0,230.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,9.0
0,T4089,GBY-5910-1_2_3,53.55975148,-113.414852,53.55975148,-113.414852,246.0,254.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,10.0
0,T4089,GBY-5910-1_2_4,53.55975148,-113.414852,53.55975148,-113.414852,270.0,278.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,11.0
0,T4089,GBY-5910-1_2_5,53.55975148,-113.414852,53.55975148,-113.414852,294.0,302.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,12.0
0,T4089,GBY-5910-1_2_6,53.55975148,-113.414852,53.55975148,-113.414852,318.0,326.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,13.0
0,T4089,GBY-5910-1_2_0,53.55975148,-113.414852,53.55975148,-113.414852,174.0,182.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,7.0
0,V4431,GBY-5910-2_2_3,53.55975148,-113.414852,53.55975148,-113.414852,246.0,254.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,10.0
0,V4431,GBY-5910-2_2_4,53.55975148,-113.414852,53.55975148,-113.414852,270.0,278.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,11.0
0,V4431,GBY-5910-2_2_5,53.55975148,-113.414852,53.55975148,-113.414852,294.0,302.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,12.0
0,V4431,GBY-5910-2_2_6,53.55975148,-113.414852,53.55975148,-113.414852,318.0,326.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,13.0
0,V4431,GBY-5910-2_2_0,53.55975148,-113.414852,53.55975148,-113.414852,174.0,182.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,7.0
0,X4248,RBV-5910-1_2_3,53.48534225,-113.55742250000002,53.48534225,-113.55742250000002,246.0,254.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,10.0
0,X4248,RBV-5910-1_2_4,53.48534225,-113.55742250000002,53.48534225,-113.55742250000002,270.0,278.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,11.0
0,X4248,RBV-5910-1_2_5,53.48534225,-113.55742250000002,53.48534225,-113.55742250000002,294.0,302.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,12.0
0,X4248,RBV-5910-1_2_6,53.48534225,-113.55742250000002,53.48534225,-113.55742250000002,318.0,326.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,13.0
0,T4118,RBV-5910-2_2_0,53.48534225,-113.55742250000002,53.48534225,-113.55742250000002,174.0,182.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,7.0
0,T4118,RBV-5910-2_2_1,53.48534225,-113.55742250000002,53.48534225,-113.55742250000002,198.0,206.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,8.0
0,T4118,RBV-5910-2_2_2,53.48534225,-113.55742250000002,53.48534225,-113.55742250000002,222.0,230.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,9.0
0,T4118,RBV-5910-2_2_3,53.48534225,-113.55742250000002,53.48534225,-113.55742250000002,246.0,254.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,10.0
0,R4013,RBV-5910-3_2_3,53.48534225,-113.55742250000002,53.48534225,-113.55742250000002,246.0,254.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,10.0
