,vehicle-name,vehicle-id,start-latitude,start-longitude,end-latitude,end-longitude,start-time,end-time,capacity,speed-multiplier,cost-per-km,cost-per-hour,waiting-cost-per-hour,fixed-cost,skills,number-of-vehicles,day
0,Y4666,GBY-72-2_1_6,53.55975148,-113.414852,53.55975148,-113.414852,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6
0,Y4667,GBY-72-3_1_3,53.55975148,-113.414852,53.55975148,-113.414852,78,86.75,10000,1,0.001,1,0.5,100,neighbourhood,1,3
0,Y4667,GBY-72-3_1_4,53.55975148,-113.414852,53.55975148,-113.414852,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4
0,Y4667,GBY-72-3_1_5,53.55975148,-113.414852,53.55975148,-113.414852,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5
0,Y4667,GBY-72-3_1_6,53.55975148,-113.414852,53.55975148,-113.414852,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6
0,Y4668,GBY-72-4_1_3,53.55975148,-113.414852,53.55975148,-113.414852,78,86.75,10000,1,0.001,1,0.5,100,neighbourhood,1,3
0,Y4668,GBY-72-4_1_4,53.55975148,-113.414852,53.55975148,-113.414852,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4
0,Y4668,GBY-72-4_1_5,53.55975148,-113.414852,53.55975148,-113.414852,126,134.75,10000,1,0.001,1,0.5,100,roadway,1,5
0,Y4668,GBY-72-4_1_6,53.55975148,-113.414852,53.55975148,-113.414852,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6
0,Y4671,GBY-72-5_1_3,53.55975148,-113.414852,53.55975148,-113.414852,78,86.75,10000,1,0.001,1,0.5,100,neighbourhood,1,3
0,Y4671,GBY-72-5_1_4,53.55975148,-113.414852,53.55975148,-113.414852,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4
0,Y4671,GBY-72-5_1_5,53.55975148,-113.414852,53.55975148,-113.414852,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5
0,Y4671,GBY-72-5_1_6,53.55975148,-113.414852,53.55975148,-113.414852,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6
0,W7456,DON-72-1_1_3,53.515626,-113.4680529,53.515626,-113.4680529,78,86.75,10000,1,0.001,1,0.5,100,neighbourhood,1,3
0,W7456,DON-72-1_1_4,53.515626,-113.4680529,53.515626,-113.4680529,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4
0,W7456,DON-72-1_1_5,53.515626,-113.4680529,53.515626,-113.4680529,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5
0,W7456,DON-72-1_1_6,53.515626,-113.4680529,53.515626,-113.4680529,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6
0,Y4672,DON-72-2_1_3,53.515626,-113.4680529,53.515626,-113.4680529,78,86.75,10000,1,0.001,1,0.5,100,roadway,1,3
0,Y4672,DON-72-2_1_4,53.515626,-113.4680529,53.515626,-113.4680529,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4
0,Y4672,DON-72-2_1_5,53.515626,-113.4680529,53.515626,-113.4680529,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5
0,Y4672,DON-72-2_1_6,53.515626,-113.4680529,53.515626,-113.4680529,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6
0,W7458,RBV-72-1_1_0,53.48534225,-113.5574225,53.48534225,-113.5574225,6,14.75,10000,1,0.001,1,0.5,100,neighbourhood,1,0
0,W7458,RBV-72-1_1_1,53.48534225,-113.5574225,53.48534225,-113.5574225,30,38.75,10000,1,0.001,1,0.5,100,roadway,1,1
0,W7458,RBV-72-1_1_2,53.48534225,-113.5574225,53.48534225,-113.5574225,54,62.75,10000,1,0.001,1,0.5,100,roadway,1,2
0,W7458,RBV-72-1_1_3,53.48534225,-113.5574225,53.48534225,-113.5574225,78,86.75,10000,1,0.001,1,0.5,100,roadway,1,3
0,W7460,RBV-72-2_1_0,53.48534225,-113.5574225,53.48534225,-113.5574225,6,14.75,10000,1,0.001,1,0.5,100,neighbourhood,1,0
0,W7460,RBV-72-2_1_1,53.48534225,-113.5574225,53.48534225,-113.5574225,30,38.75,10000,1,0.001,1,0.5,100,roadway,1,1
0,W7460,RBV-72-2_1_2,53.48534225,-113.5574225,53.48534225,-113.5574225,54,62.75,10000,1,0.001,1,0.5,100,roadway,1,2
0,W7460,RBV-72-2_1_3,53.48534225,-113.5574225,53.48534225,-113.5574225,78,86.75,10000,1,0.001,1,0.5,100,roadway,1,3
0,W7461,RBV-72-3_1_0,53.48534225,-113.5574225,53.48534225,-113.5574225,6,14.75,10000,1,0.001,1,0.5,100,neighbourhood,1,0
0,W7461,RBV-72-3_1_1,53.48534225,-113.5574225,53.48534225,-113.5574225,30,38.75,10000,1,0.001,1,0.5,100,neighbourhood,1,1
0,W7461,RBV-72-3_1_2,53.48534225,-113.5574225,53.48534225,-113.5574225,54,62.75,10000,1,0.001,1,0.5,100,roadway,1,2
0,W7461,RBV-72-3_1_3,53.48534225,-113.5574225,53.48534225,-113.5574225,78,86.75,10000,1,0.001,1,0.5,100,roadway,1,3
0,V4438,RBV-72-4_1_3,53.48534225,-113.5574225,53.48534225,-113.5574225,78,86.75,10000,1,0.001,1,0.5,100,roadway,1,3
0,V4438,RBV-72-4_1_4,53.48534225,-113.5574225,53.48534225,-113.5574225,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4
0,V4438,RBV-72-4_1_5,53.48534225,-113.5574225,53.48534225,-113.5574225,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5
0,V4438,RBV-72-4_1_6,53.48534225,-113.5574225,53.48534225,-113.5574225,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6
0,V4443,RBV-72-5_1_3,53.48534225,-113.5574225,53.48534225,-113.5574225,78,86.75,10000,1,0.001,1,0.5,100,roadway,1,3
0,V4443,RBV-72-5_1_4,53.48534225,-113.5574225,53.48534225,-113.5574225,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4
0,V4443,RBV-72-5_1_5,53.48534225,-113.5574225,53.48534225,-113.5574225,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5
0,V4443,RBV-72-5_1_6,53.48534225,-113.5574225,53.48534225,-113.5574225,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6
0,V4444,RBV-72-6_1_3,53.48534225,-113.5574225,53.48534225,-113.5574225,78,86.75,10000,1,0.001,1,0.5,100,roadway,1,3
0,V4444,RBV-72-6_1_4,53.48534225,-113.5574225,53.48534225,-113.5574225,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4
0,V4444,RBV-72-6_1_5,53.48534225,-113.5574225,53.48534225,-113.5574225,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5
0,V4444,RBV-72-6_1_6,53.48534225,-113.5574225,53.48534225,-113.5574225,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6
0,V4483,RBV-72-7_1_3,53.48534225,-113.5574225,53.48534225,-113.5574225,78,86.75,10000,1,0.001,1,0.5,100,roadway,1,3
0,V4483,RBV-72-7_1_4,53.48534225,-113.5574225,53.48534225,-113.5574225,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4
0,V4483,RBV-72-7_1_5,53.48534225,-113.5574225,53.48534225,-113.5574225,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5
0,V4483,RBV-72-7_1_6,53.48534225,-113.5574225,53.48534225,-113.5574225,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6
0,T4076,RBV-72-8_1_0,53.48534225,-113.5574225,53.48534225,-113.5574225,6,14.75,10000,1,0.001,1,0.5,100,neighbourhood,1,0
0,T4076,RBV-72-8_1_1,53.48534225,-113.5574225,53.48534225,-113.5574225,30,38.75,10000,1,0.001,1,0.5,100,neighbourhood,1,1
0,T4076,RBV-72-8_1_2,53.48534225,-113.5574225,53.48534225,-113.5574225,54,62.75,10000,1,0.001,1,0.5,100,roadway,1,2
0,T4076,RBV-72-8_1_3,53.48534225,-113.5574225,53.48534225,-113.5574225,78,86.75,10000,1,0.001,1,0.5,100,roadway,1,3
0,X4221,OKY-72-1_1_4,53.52408381,-113.5029577,53.52408381,-113.5029577,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4
0,X4221,OKY-72-1_1_5,53.52408381,-113.5029577,53.52408381,-113.5029577,126,134.75,10000,1,0.001,1,0.5,100,roadway,1,5
0,X4221,OKY-72-1_1_6,53.52408381,-113.5029577,53.52408381,-113.5029577,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6
0,X4221,OKY-72-1_1_0,53.52408381,-113.5029577,53.52408381,-113.5029577,6,14.75,10000,1,0.001,1,0.5,100,neighbourhood,1,0
0,X4222,OKY-72-2_1_4,53.52408381,-113.5029577,53.52408381,-113.5029577,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4
0,X4222,OKY-72-2_1_5,53.52408381,-113.5029577,53.52408381,-113.5029577,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5
0,X4222,OKY-72-2_1_6,53.52408381,-113.5029577,53.52408381,-113.5029577,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6
0,X4222,OKY-72-2_1_0,53.52408381,-113.5029577,53.52408381,-113.5029577,6,14.75,10000,1,0.001,1,0.5,100,neighbourhood,1,0
0,X4223,OKY-72-3_1_4,53.52408381,-113.5029577,53.52408381,-113.5029577,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4
0,X4223,OKY-72-3_1_5,53.52408381,-113.5029577,53.52408381,-113.5029577,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5
0,X4223,OKY-72-3_1_6,53.52408381,-113.5029577,53.52408381,-113.5029577,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6
0,X4223,OKY-72-3_1_0,53.52408381,-113.5029577,53.52408381,-113.5029577,6,14.75,10000,1,0.001,1,0.5,100,neighbourhood,1,0
0,X4224,OKY-72-4_1_4,53.52408381,-113.5029577,53.52408381,-113.5029577,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4
0,X4224,OKY-72-4_1_5,53.52408381,-113.5029577,53.52408381,-113.5029577,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5
0,X4224,OKY-72-4_1_6,53.52408381,-113.5029577,53.52408381,-113.5029577,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6
0,X4224,OKY-72-4_1_0,53.52408381,-113.5029577,53.52408381,-113.5029577,6,14.75,10000,1,0.001,1,0.5,100,neighbourhood,1,0
0,Y4664,ASY-72-1_1_3,53.42626956,-113.5713273,53.42626956,-113.5713273,78,86.75,10000,1,0.001,1,0.5,100,roadway,1,3
0,Y4664,ASY-72-1_1_4,53.42626956,-113.5713273,53.42626956,-113.5713273,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4
0,Y4664,ASY-72-1_1_5,53.42626956,-113.5713273,53.42626956,-113.5713273,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5
0,Y4664,ASY-72-1_1_6,53.42626956,-113.5713273,53.42626956,-113.5713273,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6
0,Y4665,ASY-72-2_1_3,53.42626956,-113.5713273,53.42626956,-113.5713273,78,86.75,10000,1,0.001,1,0.5,100,roadway,1,3
0,Y4665,ASY-72-2_1_4,53.42626956,-113.5713273,53.42626956,-113.5713273,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4
0,Y4665,ASY-72-2_1_5,53.42626956,-113.5713273,53.42626956,-113.5713273,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5
0,Y4665,ASY-72-2_1_6,53.42626956,-113.5713273,53.42626956,-113.5713273,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6
0,Y4669,ASY-72-3_1_3,53.42626956,-113.5713273,53.42626956,-113.5713273,78,86.75,10000,1,0.001,1,0.5,100,roadway,1,3
0,Y4669,ASY-72-3_1_4,53.42626956,-113.5713273,53.42626956,-113.5713273,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4
0,Y4669,ASY-72-3_1_5,53.42626956,-113.5713273,53.42626956,-113.5713273,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5
0,Y4669,ASY-72-3_1_6,53.42626956,-113.5713273,53.42626956,-113.5713273,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6
0,Y4670,ASY-72-4_1_3,53.42626956,-113.5713273,53.42626956,-113.5713273,78,86.75,10000,1,0.001,1,0.5,100,roadway,1,3
0,Y4670,ASY-72-4_1_4,53.42626956,-113.5713273,53.42626956,-113.5713273,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4
0,Y4670,ASY-72-4_1_5,53.42626956,-113.5713273,53.42626956,-113.5713273,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5
0,Y4670,ASY-72-4_1_6,53.42626956,-113.5713273,53.42626956,-113.5713273,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6
0,X4225,MWD-72-1_2_3,53.45417787,-113.4393666,53.45417787,-113.4393666,246,254.75,10000,1,0.001,1,0.5,100,neighbourhood,1,10
0,X4225,MWD-72-1_2_4,53.45417787,-113.4393666,53.45417787,-113.4393666,270,278.75,10000,1,0.001,1,0.5,100,neighbourhood,1,11
0,X4225,MWD-72-1_2_5,53.45417787,-113.4393666,53.45417787,-113.4393666,294,302.75,10000,1,0.001,1,0.5,100,roadway,1,12
0,X4225,MWD-72-1_2_6,53.45417787,-113.4393666,53.45417787,-113.4393666,318,326.75,10000,1,0.001,1,0.5,100,neighbourhood,1,13
0,X4225,MWD-72-1_2_0,53.45417787,-113.4393666,53.45417787,-113.4393666,174,182.75,10000,1,0.001,1,0.5,100,neighbourhood,1,7
0,X4225,MWD-72-1_2_1,53.45417787,-113.4393666,53.45417787,-113.4393666,198,206.75,10000,1,0.001,1,0.5,100,roadway,1,8
0,X4225,MWD-72-1_2_2,53.45417787,-113.4393666,53.45417787,-113.4393666,222,230.75,10000,1,0.001,1,0.5,100,roadway,1,9
0,X4226,MWD-72-2_2_3,53.45417787,-113.4393666,53.45417787,-113.4393666,246,254.75,10000,1,0.001,1,0.5,100,neighbourhood,1,10
0,X4226,MWD-72-2_2_4,53.45417787,-113.4393666,53.45417787,-113.4393666,270,278.75,10000,1,0.001,1,0.5,100,neighbourhood,1,11
0,X4226,MWD-72-2_2_5,53.45417787,-113.4393666,53.45417787,-113.4393666,294,302.75,10000,1,0.001,1,0.5,100,neighbourhood,1,12
0,X4226,MWD-72-2_2_6,53.45417787,-113.4393666,53.45417787,-113.4393666,318,326.75,10000,1,0.001,1,0.5,100,neighbourhood,1,13
0,X4226,MWD-72-2_2_0,53.45417787,-113.4393666,53.45417787,-113.4393666,174,182.75,10000,1,0.001,1,0.5,100,neighbourhood,1,7
0,X4226,MWD-72-2_2_1,53.45417787,-113.4393666,53.45417787,-113.4393666,198,206.75,10000,1,0.001,1,0.5,100,roadway,1,8
0,X4226,MWD-72-2_2_2,53.45417787,-113.4393666,53.45417787,-113.4393666,222,230.75,10000,1,0.001,1,0.5,100,roadway,1,9
0,X4236,MWD-72-3_2_3,53.45417787,-113.4393666,53.45417787,-113.4393666,246,254.75,10000,1,0.001,1,0.5,100,neighbourhood,1,10
0,X4236,MWD-72-3_2_4,53.45417787,-113.4393666,53.45417787,-113.4393666,270,278.75,10000,1,0.001,1,0.5,100,neighbourhood,1,11
0,X4236,MWD-72-3_2_5,53.45417787,-113.4393666,53.45417787,-113.4393666,294,302.75,10000,1,0.001,1,0.5,100,neighbourhood,1,12
0,X4236,MWD-72-3_2_6,53.45417787,-113.4393666,53.45417787,-113.4393666,318,326.75,10000,1,0.001,1,0.5,100,neighbourhood,1,13
0,X4236,MWD-72-3_2_0,53.45417787,-113.4393666,53.45417787,-113.4393666,174,182.75,10000,1,0.001,1,0.5,100,neighbourhood,1,7
0,X4236,MWD-72-3_2_1,53.45417787,-113.4393666,53.45417787,-113.4393666,198,206.75,10000,1,0.001,1,0.5,100,roadway,1,8
0,X4236,MWD-72-3_2_2,53.45417787,-113.4393666,53.45417787,-113.4393666,222,230.75,10000,1,0.001,1,0.5,100,roadway,1,9
0,X4237,MWD-72-4_2_3,53.45417787,-113.4393666,53.45417787,-113.4393666,246,254.75,10000,1,0.001,1,0.5,100,neighbourhood,1,10
0,X4237,MWD-72-4_2_4,53.45417787,-113.4393666,53.45417787,-113.4393666,270,278.75,10000,1,0.001,1,0.5,100,neighbourhood,1,11
0,X4237,MWD-72-4_2_5,53.45417787,-113.4393666,53.45417787,-113.4393666,294,302.75,10000,1,0.001,1,0.5,100,neighbourhood,1,12
0,X4237,MWD-72-4_2_6,53.45417787,-113.4393666,53.45417787,-113.4393666,318,326.75,10000,1,0.001,1,0.5,100,neighbourhood,1,13
0,X4237,MWD-72-4_2_0,53.45417787,-113.4393666,53.45417787,-113.4393666,174,182.75,10000,1,0.001,1,0.5,100,neighbourhood,1,7
0,X4237,MWD-72-4_2_1,53.45417787,-113.4393666,53.45417787,-113.4393666,198,206.75,10000,1,0.001,1,0.5,100,roadway,1,8
0,X4237,MWD-72-4_2_2,53.45417787,-113.4393666,53.45417787,-113.4393666,222,230.75,10000,1,0.001,1,0.5,100,roadway,1,9
0,X4238,MWD-72-5_2_3,53.45417787,-113.4393666,53.45417787,-113.4393666,246,254.75,10000,1,0.001,1,0.5,100,neighbourhood,1,10
0,X4238,MWD-72-5_2_4,53.45417787,-113.4393666,53.45417787,-113.4393666,270,278.75,10000,1,0.001,1,0.5,100,neighbourhood,1,11
0,X4238,MWD-72-5_2_5,53.45417787,-113.4393666,53.45417787,-113.4393666,294,302.75,10000,1,0.001,1,0.5,100,roadway,1,12
0,X4238,MWD-72-5_2_6,53.45417787,-113.4393666,53.45417787,-113.4393666,318,326.75,10000,1,0.001,1,0.5,100,neighbourhood,1,13
0,X4238,MWD-72-5_2_0,53.45417787,-113.4393666,53.45417787,-113.4393666,174,182.75,10000,1,0.001,1,0.5,100,neighbourhood,1,7
0,Y4666,MWD-72-6_2_3,53.45417787,-113.4393666,53.45417787,-113.4393666,246,254.75,10000,1,0.001,1,0.5,100,neighbourhood,1,10
0,Y4666,MWD-72-6_2_4,53.45417787,-113.4393666,53.45417787,-113.4393666,270,278.75,10000,1,0.001,1,0.5,100,neighbourhood,1,11
0,Y4666,MWD-72-6_2_5,53.45417787,-113.4393666,53.45417787,-113.4393666,294,302.75,10000,1,0.001,1,0.5,100,neighbourhood,1,12
0,Y4666,MWD-72-6_2_6,53.45417787,-113.4393666,53.45417787,-113.4393666,318,326.75,10000,1,0.001,1,0.5,100,neighbourhood,1,13
0,Y4666,MWD-72-6_2_0,53.45417787,-113.4393666,53.45417787,-113.4393666,174,182.75,10000,1,0.001,1,0.5,100,neighbourhood,1,7
