,vehicle-name,vehicle-id,start-latitude,start-longitude,end-latitude,end-longitude,start-time,end-time,capacity,speed-multiplier,cost-per-km,cost-per-hour,waiting-cost-per-hour,fixed-cost,skills,number-of-vehicles,day,Depor
0,X4248,RBV-5910-1_1_6,53.48534225,-113.5574225,53.48534225,-113.5574225,150,158.75,10000,1,0.001,1,0.5,100,roadway,1,6,RBV
0,T4118,RBV-5910-2_1_0,53.48534225,-113.5574225,53.48534225,-113.5574225,6,14.75,10000,1,0.001,1,0.5,100,neighbourhood,1,0,RBV
0,T4118,RBV-5910-2_1_1,53.48534225,-113.5574225,53.48534225,-113.5574225,30,38.75,10000,1,0.001,1,0.5,100,neighbourhood,1,1,RBV
0,T4118,RBV-5910-2_1_2,53.48534225,-113.5574225,53.48534225,-113.5574225,54,62.75,10000,1,0.001,1,0.5,100,roadway,1,2,RBV
0,T4118,RBV-5910-2_1_3,53.48534225,-113.5574225,53.48534225,-113.5574225,78,86.75,10000,1,0.001,1,0.5,100,neighbourhood,1,3,RBV
0,R4013,RBV-5910-3_1_3,53.48534225,-113.5574225,53.48534225,-113.5574225,78,86.75,10000,1,0.001,1,0.5,100,neighbourhood,1,3,RBV
0,R4013,RBV-5910-3_1_4,53.48534225,-113.5574225,53.48534225,-113.5574225,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4,RBV
0,R4013,RBV-5910-3_1_5,53.48534225,-113.5574225,53.48534225,-113.5574225,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5,RBV
0,R4013,RBV-5910-3_1_6,53.48534225,-113.5574225,53.48534225,-113.5574225,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6,RBV
0,P4079,RBV-5910-4_1_0,53.48534225,-113.5574225,53.48534225,-113.5574225,6,14.75,10000,1,0.001,1,0.5,100,neighbourhood,1,0,RBV
0,P4079,RBV-5910-4_1_1,53.48534225,-113.5574225,53.48534225,-113.5574225,30,38.75,10000,1,0.001,1,0.5,100,roadway,1,1,RBV
0,P4079,RBV-5910-4_1_2,53.48534225,-113.5574225,53.48534225,-113.5574225,54,62.75,10000,1,0.001,1,0.5,100,neighbourhood,1,2,RBV
0,P4079,RBV-5910-4_1_3,53.48534225,-113.5574225,53.48534225,-113.5574225,78,86.75,10000,1,0.001,1,0.5,100,neighbourhood,1,3,RBV
0,T4086,OKY-5910-1_1_4,53.52408381,-113.5029577,53.52408381,-113.5029577,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4,OKY
0,T4086,OKY-5910-1_1_5,53.52408381,-113.5029577,53.52408381,-113.5029577,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5,OKY
0,T4086,OKY-5910-1_1_6,53.52408381,-113.5029577,53.52408381,-113.5029577,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6,OKY
0,T4086,OKY-5910-1_1_0,53.52408381,-113.5029577,53.52408381,-113.5029577,6,14.75,10000,1,0.001,1,0.5,100,neighbourhood,1,0,OKY
0,V4432,ASY-1590-1_1_3,53.42626956,-113.5713273,53.42626956,-113.5713273,78,86.75,10000,1,0.001,1,0.5,100,neighbourhood,1,3,ASY
0,V4432,ASY-1590-1_1_4,53.42626956,-113.5713273,53.42626956,-113.5713273,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4,ASY
0,V4432,ASY-1590-1_1_5,53.42626956,-113.5713273,53.42626956,-113.5713273,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5,ASY
0,V4432,ASY-1590-1_1_6,53.42626956,-113.5713273,53.42626956,-113.5713273,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6,ASY
0,X4247,MWD-5910-1_2_3,53.45417787,-113.4393666,53.45417787,-113.4393666,246,254.75,10000,1,0.001,1,0.5,100,neighbourhood,1,10,MWD
0,X4247,MWD-5910-1_2_4,53.45417787,-113.4393666,53.45417787,-113.4393666,270,278.75,10000,1,0.001,1,0.5,100,neighbourhood,1,11,MWD
0,X4247,MWD-5910-1_2_5,53.45417787,-113.4393666,53.45417787,-113.4393666,294,302.75,10000,1,0.001,1,0.5,100,roadway,1,12,MWD
0,X4247,MWD-5910-1_2_6,53.45417787,-113.4393666,53.45417787,-113.4393666,318,326.75,10000,1,0.001,1,0.5,100,neighbourhood,1,13,MWD
0,X4247,MWD-5910-1_2_0,53.45417787,-113.4393666,53.45417787,-113.4393666,174,182.75,10000,1,0.001,1,0.5,100,roadway,1,7,MWD
0,T4090,MWD-5910-2_2_3,53.45417787,-113.4393666,53.45417787,-113.4393666,246,254.75,10000,1,0.001,1,0.5,100,neighbourhood,1,10,MWD
