,Id,Level,cluster,day,end-time,start-time,job-id,latitude,longitude,name,priority,quantity,raw-id,required-skills,Service-duration-1,type,service-duration,
681,1693_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.47007117,-113.525362,Greenfield,10,1,1693_0,neighbourhood,0.21,D,0.1657894737,FALSE
1701,1693_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.47007117,-113.525362,Greenfield,10,1,1693_1,neighbourhood,0.21,D,0.1657894737,TRUE
682,1710_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.53221461,-113.5348299,River Valley Mayfair,10,1,1710_0,neighbourhood,0.7266666667,D,0.5736842105,FALSE
1702,1710_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.53221461,-113.5348299,River Valley Mayfair,10,1,1710_1,neighbourhood,0.7266666667,D,0.5736842105,TRUE
683,1711_0_B1,B1,,4,4.0d 14:45:00,4.0d 06:00:00,,53.43508963,-113.6325826,Windermere South,1,1,1711_0,neighbourhood,1.65,D,1.3026315789,FALSE
1703,1711_1_B1,B1,,12,12.0d 14:45:00,12.0d 06:00:00,,53.43508963,-113.6325826,Windermere South,1,1,1711_1,neighbourhood,1.65,D,1.3026315789,FALSE
113,1714.0_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.4638973,-113.4544161,TIPASKAN,10,1,1714.0_0,neighbourhood,0.9866666667,D,0.7789473684,FALSE
1133,1714.0_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.4638973,-113.4544161,TIPASKAN,10,1,1714.0_1,neighbourhood,0.9866666667,D,0.7789473684,TRUE
2092,1720_0_A2,A2,,,6d 14:45:00,5d 06:00:00,,53.48557887,-113.5685092,Brookside,10,1,1720_0,neighbourhood,0.76,D,0.6,
2209,1720_1_A2,A2,,,13d 14:45:00,12d 06:00:00,,53.48557887,-113.5685092,Brookside,10,1,1720_1,neighbourhood,0.76,D,0.6,
2326,1720_2_A2,A2,,,20d 14:45:00,19d 06:00:00,,53.48557887,-113.5685092,Brookside,10,1,1720_2,neighbourhood,0.76,D,0.6,
2450,1721_0_B1,B1,44,,11d 14:45:00,10d 06:00:00,,53.41801598,-113.5061208,Blackmud Creek,1,1,1721_0,neighbourhood,0.3553333333,D,0.2805263158,FALSE
2450,1721_1_B1,B1,44,,20d 14:45:00,19d 06:00:00,,53.41801598,-113.5061208,Blackmud Creek,1,1,1721_0,neighbourhood,0.3553333333,D,0.2805263158,FALSE
684,1748_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.50743721,-113.4995791,Queen Alexandra,10,1,1748_0,neighbourhood,0.3866666667,D,0.3052631579,FALSE
1704,1748_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.50743721,-113.4995791,Queen Alexandra,10,1,1748_1,neighbourhood,0.3866666667,D,0.3052631579,FALSE
114,1752.0_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.46680909,-113.4546789,RICHFIELD,10,1,1752.0_0,neighbourhood,2.8466666667,D,2.2473684211,FALSE
1134,1752.0_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.46680909,-113.4546789,RICHFIELD,10,1,1752.0_1,neighbourhood,2.8466666667,D,2.2473684211,FALSE
685,1756_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.45743493,-113.6050901,Haddow,10,1,1756_0,neighbourhood,0.8033333333,D,0.6342105263,FALSE
1705,1756_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.45743493,-113.6050901,Haddow,10,1,1756_1,neighbourhood,0.8033333333,D,0.6342105263,FALSE
686,1757_0_B1,B1,,0,9d 14:45:00,0d 06:00:00,,53.47366247,-113.5892026,Rhatigan Ridge,1,1,1757_0,neighbourhood,0.8066666667,D,0.6368421053,FALSE
1706,1757_1_B1,B1,,19,20d 14:45:00,10d 06:00:00,,53.47366247,-113.5892026,Rhatigan Ridge,1,1,1757_1,neighbourhood,0.8066666667,D,0.6368421053,FALSE
115,1759.0_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.48332882,-113.4577198,TWEDDLE PLACE,10,1,1759.0_0,neighbourhood,2.0666666667,D,1.6315789474,FALSE
1135,1759.0_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.48332882,-113.4577198,TWEDDLE PLACE,10,1,1759.0_1,neighbourhood,2.0666666667,D,1.6315789474,TRUE
687,1769_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.5251183,-113.4918044,Strathcona,10,1,1769_0,neighbourhood,0.7,D,0.5526315789,FALSE
1707,1769_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.5251183,-113.4918044,Strathcona,10,1,1769_1,neighbourhood,0.7,D,0.5526315789,TRUE
2451,1770_0_B1,B1,51,,11d 14:45:00,10d 06:00:00,,53.43182485,-113.5337396,MacEwan,1,1,1770_0,neighbourhood,0.2556666667,D,0.2018421053,FALSE
2451,1770_1_B1,B1,51,,20d 14:45:00,19d 06:00:00,,53.43182485,-113.5337396,MacEwan,1,1,1770_0,neighbourhood,0.2556666667,D,0.2018421053,FALSE
116,1771.0_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.46537684,-113.4587719,RICHFIELD,10,1,1771.0_0,roadway,3.1833333333,D,2.5131578947,FALSE
1136,1771.0_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.46537684,-113.4587719,RICHFIELD,10,1,1771.0_1,roadway,3.1833333333,D,2.5131578947,TRUE
117,1778.0_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.44264997,-113.4290041,SAKAW,10,1,1778.0_0,neighbourhood,2.6066666667,D,2.0578947368,FALSE
1137,1778.0_1_B1,B1,,20,20.0d 14:45:00,20d 06:00:00,,53.44264997,-113.4290041,SAKAW,1,1,1778.0_1,neighbourhood,2.6066666667,D,2.0578947368,FALSE
118,1779.0_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.47325833,-113.4122667,JACKSON HEIGHTS,10,1,1779.0_0,neighbourhood,1.9933333333,D,1.5736842105,FALSE
1138,1779.0_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.47325833,-113.4122667,JACKSON HEIGHTS,10,1,1779.0_1,neighbourhood,1.9933333333,D,1.5736842105,TRUE
2434,178_0_B1,B1,36,,11d 14:45:00,10d 06:00:00,,53.47384301,-113.5516438,Aspen Gardens,1,1,178_0,neighbourhood,1.0746666667,D,0.8484210526,FALSE
2434,178_1_B1,B1,36,,20d 14:45:00,19d 06:00:00,,53.47384301,-113.5516438,Aspen Gardens,1,1,178_0,neighbourhood,1.0746666667,D,0.8484210526,FALSE
119,1782.0_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.44243432,-113.4635386,SATOO,10,1,1782.0_0,neighbourhood,2.8466666667,D,2.2473684211,FALSE
1139,1782.0_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.44243432,-113.4635386,SATOO,10,1,1782.0_1,neighbourhood,2.8466666667,D,2.2473684211,TRUE
120,1787.0_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.4776149,-113.414709,JACKSON HEIGHTS,10,1,1787.0_0,neighbourhood,0.51,D,0.4026315789,FALSE
1140,1787.0_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.4776149,-113.414709,JACKSON HEIGHTS,10,1,1787.0_1,neighbourhood,0.51,D,0.4026315789,TRUE
688,1788_0_B1,B1,,4,4.0d 14:45:00,4.0d 06:00:00,,53.49467404,-113.5709562,Brookside,1,1,1788_0,neighbourhood,1.2366666667,D,0.9763157895,FALSE
1708,1788_1_B1,B1,,17,17.0d 14:45:00,17.0d 06:00:00,,53.49467404,-113.5709562,Brookside,1,1,1788_1,neighbourhood,1.2366666667,D,0.9763157895,FALSE
2093,1791_0_A2,A2,,6,6.0d 14:45:00,6.0d 06:00:00,,53.52004776,-113.5387295,Windsor Park,1,1,1791_0,neighbourhood,0.48,D,0.3789473684,
2210,1791_1_A2,A2,,12,12.0d 14:45:00,12.0d 06:00:00,,53.52004776,-113.5387295,Windsor Park,1,1,1791_1,neighbourhood,0.48,D,0.3789473684,
2327,1791_2_A2,A2,,19,19.0d 14:45:00,19.0d 06:00:00,,53.52004776,-113.5387295,Windsor Park,1,1,1791_2,neighbourhood,0.48,D,0.3789473684,
121,1792.0_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.47299555,-113.3954121,KINISKI GARDENS,10,1,1792.0_0,roadway,0.4466666667,D,0.3526315789,FALSE
1141,1792.0_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.47299555,-113.3954121,KINISKI GARDENS,10,1,1792.0_1,roadway,0.4466666667,D,0.3526315789,TRUE
689,1793_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.44291311,-113.5193901,Twin Brooks,10,1,1793_0,neighbourhood,1.0233333333,D,0.8078947368,FALSE
1709,1793_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.44291311,-113.5193901,Twin Brooks,10,1,1793_1,neighbourhood,1.0233333333,D,0.8078947368,TRUE
690,1794_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.48562893,-113.5414907,Lansdowne,10,1,1794_0,neighbourhood,1.6366666667,D,1.2921052632,FALSE
1710,1794_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.48562893,-113.5414907,Lansdowne,10,1,1794_1,neighbourhood,1.6366666667,D,1.2921052632,TRUE
691,1796_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.45687427,-113.5005622,Ermineskin,10,1,1796_0,neighbourhood,1.31,D,1.0342105263,FALSE
1711,1796_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.45687427,-113.5005622,Ermineskin,10,1,1796_1,neighbourhood,1.31,D,1.0342105263,TRUE
122,1797.0_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.44398441,-113.4470709,MENISA,10,1,1797.0_0,neighbourhood,1.3233333333,D,1.0447368421,FALSE
1142,1797.0_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.44398441,-113.4470709,MENISA,10,1,1797.0_1,neighbourhood,1.3233333333,D,1.0447368421,TRUE
692,1798_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.43093699,-113.5318089,MacEwan,10,1,1798_0,neighbourhood,0.43,D,0.3394736842,FALSE
1712,1798_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.43093699,-113.5318089,MacEwan,10,1,1798_1,neighbourhood,0.43,D,0.3394736842,TRUE
693,1805_0_B1,B1,,2,2.0d 14:45:00,2.0d 06:00:00,,53.47225564,-113.5782594,Bulyea Heights,1,1,1805_0,roadway,1.2666666667,D,1,FALSE
1713,1805_1_B1,B1,,15,15.0d 14:45:00,15.0d 06:00:00,,53.47225564,-113.5782594,Bulyea Heights,1,1,1805_1,roadway,1.2666666667,D,1,FALSE
8,181.0_0_B1,B1,,0,0.0d 14:45:00,0.0d 06:00:00,,53.5572473,-113.4252652,CAPILANO,1,1,181.0_0,neighbourhood,0.8333333333,D,0.6578947368,FALSE
1028,181.0_1_B1,B1,,19,19.0d 14:45:00,19.0d 06:00:00,,53.5572473,-113.4252652,CAPILANO,1,1,181.0_1,neighbourhood,0.8333333333,D,0.6578947368,FALSE
123,1814.0_0_B1,B1,,10,10.0d 14:45:00,10.0d 06:00:00,,53.48249405,-113.3806965,LARKSPUR,1,1,1814.0_0,neighbourhood,1.7733333333,D,1.4,FALSE
1143,1814.0_1_B1,B1,,20,20.0d 14:45:00,20d 06:00:00,,53.48249405,-113.3806965,LARKSPUR,1,1,1814.0_1,neighbourhood,1.7733333333,D,1.4,FALSE
694,1816_0_B1,B1,,4,9d 14:45:00,0d 06:00:00,,53.48626437,-113.5731096,Ramsey Heights,1,1,1816_0,neighbourhood,1.0266666667,D,0.8105263158,FALSE
1714,1816_1_B1,B1,,10,20d 14:45:00,10d 06:00:00,,53.48626437,-113.5731096,Ramsey Heights,1,1,1816_1,neighbourhood,1.0266666667,D,0.8105263158,FALSE
9,182.0_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.55581701,-113.4269073,CAPILANO,10,1,182.0_0,neighbourhood,0.1933333333,D,0.1526315789,FALSE
1029,182.0_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.55581701,-113.4269073,CAPILANO,10,1,182.0_1,neighbourhood,0.1933333333,D,0.1526315789,TRUE
124,1823.0_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.45268009,-113.4471929,EKOTA,10,1,1823.0_0,neighbourhood,1.6,D,1.2631578947,FALSE
1144,1823.0_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.45268009,-113.4471929,EKOTA,10,1,1823.0_1,neighbourhood,1.6,D,1.2631578947,TRUE
125,1825.0_0_B1,B1,,10,10.0d 14:45:00,10.0d 06:00:00,,53.51228056,-113.4682563,MILL CREEK RAVINE SOUTH,1,1,1825.0_0,neighbourhood,0.27,D,0.2131578947,FALSE
1145,1825.0_1_B1,B1,,20,20.0d 14:45:00,20d 06:00:00,,53.51228056,-113.4682563,MILL CREEK RAVINE SOUTH,1,1,1825.0_1,neighbourhood,0.27,D,0.2131578947,FALSE
556,183_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.46337868,-113.6028214,Henderson,10,1,183_0,neighbourhood,0.5433333333,D,0.4289473684,FALSE
1576,183_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.46337868,-113.6028214,Henderson,10,1,183_1,neighbourhood,0.5433333333,D,0.4289473684,TRUE
695,1831_0_B1,B1,,0,0.0d 14:45:00,0.0d 06:00:00,,53.50102494,-113.5538245,Grandview Heights,1,1,1831_0,neighbourhood,1.5,D,1.1842105263,FALSE
1715,1831_1_B1,B1,,17,17.0d 14:45:00,17.0d 06:00:00,,53.50102494,-113.5538245,Grandview Heights,1,1,1831_1,neighbourhood,1.5,D,1.1842105263,FALSE
126,1837.0_0_B1,B1,,2,2.0d 14:45:00,2.0d 06:00:00,,53.45169814,-113.4632398,SATOO,1,1,1837.0_0,roadway,0.21,D,0.1657894737,FALSE
1146,1837.0_1_B1,B1,,16,16.0d 14:45:00,16.0d 06:00:00,,53.45169814,-113.4632398,SATOO,1,1,1837.0_1,roadway,0.21,D,0.1657894737,FALSE
127,1841.0_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.48192802,-113.4568471,TWEDDLE PLACE,10,1,1841.0_0,neighbourhood,1.3333333333,D,1.0526315789,FALSE
1147,1841.0_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.48192802,-113.4568471,TWEDDLE PLACE,10,1,1841.0_1,neighbourhood,1.3333333333,D,1.0526315789,TRUE
128,1842.0_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.44429154,-113.4504405,MENISA,10,1,1842.0_0,neighbourhood,0.84,D,0.6631578947,FALSE
1148,1842.0_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.44429154,-113.4504405,MENISA,10,1,1842.0_1,neighbourhood,0.84,D,0.6631578947,TRUE
129,1849.0_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.46649685,-113.3854278,WILD ROSE,10,1,1849.0_0,neighbourhood,4.3333333333,D,3.4210526316,FALSE
1149,1849.0_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.46649685,-113.3854278,WILD ROSE,10,1,1849.0_1,neighbourhood,4.3333333333,D,3.4210526316,TRUE
130,1850.0_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.46936302,-113.3935295,WILD ROSE,10,1,1850.0_0,roadway,0.23,D,0.1815789474,FALSE
1150,1850.0_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.46936302,-113.3935295,WILD ROSE,10,1,1850.0_1,roadway,0.23,D,0.1815789474,TRUE
131,1854.0_0_B1,B1,,0,0.0d 14:45:00,0.0d 06:00:00,,53.51080393,-113.4492502,AVONMORE,1,1,1854.0_0,neighbourhood,1.7333333333,D,1.3684210526,FALSE
1151,1854.0_1_B1,B1,,20,20.0d 14:45:00,20d 06:00:00,,53.51080393,-113.4492502,AVONMORE,1,1,1854.0_1,neighbourhood,1.7333333333,D,1.3684210526,FALSE
696,1858_0_B1,B1,,4,4.0d 14:45:00,4.0d 06:00:00,,53.49595387,-113.5786278,Brander Gardens,1,1,1858_0,neighbourhood,1.0566666667,D,0.8342105263,FALSE
1716,1858_1_B1,B1,,17,17.0d 14:45:00,17.0d 06:00:00,,53.49595387,-113.5786278,Brander Gardens,1,1,1858_1,neighbourhood,1.0566666667,D,0.8342105263,FALSE
2094,1859_0_A2,A2,,,6d 14:45:00,5d 06:00:00,,53.49371434,-113.5635699,Brookside,10,1,1859_0,neighbourhood,1.55,D,1.2236842105,
2211,1859_1_A2,A2,,,13d 14:45:00,12d 06:00:00,,53.49371434,-113.5635699,Brookside,10,1,1859_1,neighbourhood,1.55,D,1.2236842105,
2328,1859_2_A2,A2,,,20d 14:45:00,19d 06:00:00,,53.49371434,-113.5635699,Brookside,10,1,1859_2,neighbourhood,1.55,D,1.2236842105,
132,1860.0_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.5525782,-113.4401653,FOREST HEIGHTS,10,1,1860.0_0,neighbourhood,0.3833333333,D,0.3026315789,FALSE
1152,1860.0_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.5525782,-113.4401653,FOREST HEIGHTS,10,1,1860.0_1,neighbourhood,0.3833333333,D,0.3026315789,TRUE
697,1861_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.50760849,-113.535983,Belgravia,10,1,1861_0,neighbourhood,0.3766666667,D,0.2973684211,FALSE
1717,1861_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.50760849,-113.535983,Belgravia,10,1,1861_1,neighbourhood,0.3766666667,D,0.2973684211,TRUE
698,1862_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.47468751,-113.5707626,Bulyea Heights,10,1,1862_0,neighbourhood,1.1666666667,D,0.9210526316,FALSE
1718,1862_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.47468751,-113.5707626,Bulyea Heights,10,1,1862_1,neighbourhood,1.1666666667,D,0.9210526316,TRUE
133,1863.0_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.44800717,-113.4642232,SATOO,10,1,1863.0_0,neighbourhood,0.74,D,0.5842105263,FALSE
1153,1863.0_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.44800717,-113.4642232,SATOO,10,1,1863.0_1,neighbourhood,0.74,D,0.5842105263,TRUE
699,1864_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.47926415,-113.5902821,Rhatigan Ridge,10,1,1864_0,neighbourhood,0.2266666667,D,0.1789473684,FALSE
1719,1864_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.47926415,-113.5902821,Rhatigan Ridge,10,1,1864_1,neighbourhood,0.2266666667,D,0.1789473684,TRUE
2095,1866_0_A2,A2,,6,6.0d 14:45:00,6.0d 06:00:00,,53.48692327,-113.5010953,Empire Park,1,1,1866_0,neighbourhood,1.77,D,1.3973684211,
2212,1866_1_A2,A2,,12,12.0d 14:45:00,12.0d 06:00:00,,53.48692327,-113.5010953,Empire Park,1,1,1866_1,neighbourhood,1.77,D,1.3973684211,
2329,1866_2_A2,A2,,19,19.0d 14:45:00,19.0d 06:00:00,,53.48692327,-113.5010953,Empire Park,1,1,1866_2,neighbourhood,1.77,D,1.3973684211,
134,1867.0_0_B1,B1,,5,5.0d 14:45:00,5.0d 06:00:00,,53.50596204,-113.4637143,ARGYLL,1,1,1867.0_0,neighbourhood,5.2233333333,D,4.1236842105,FALSE
1154,1867.0_1_B1,B1,,10,20d 14:45:00,20d 06:00:00,,53.50596204,-113.4637143,ARGYLL,1,1,1867.0_1,neighbourhood,5.2233333333,D,4.1236842105,FALSE
135,1868.0_0_B1,B1,,3,3.0d 14:45:00,3.0d 06:00:00,,53.50873972,-113.4609116,MILL CREEK RAVINE SOUTH,1,1,1868.0_0,neighbourhood,0.9633333333,D,0.7605263158,FALSE
1155,1868.0_1_B1,B1,,17,17.0d 14:45:00,17.0d 06:00:00,,53.50873972,-113.4609116,MILL CREEK RAVINE SOUTH,1,1,1868.0_1,neighbourhood,0.9633333333,D,0.7605263158,FALSE
2047,1869.0_0_A2,A2,,6,6.0d 14:45:00,6.0d 06:00:00,,53.5055051,-113.4487169,AVONMORE,1,1,1869.0_0,neighbourhood,0.51,D,0.4026315789,
2164,1869.0_1_A2,A2,,13,13.0d 14:45:00,13.0d 06:00:00,,53.5055051,-113.4487169,AVONMORE,1,1,1869.0_1,neighbourhood,0.51,D,0.4026315789,
2281,1869.0_2_A2,A2,,20,20.0d 14:45:00,20d 06:00:00,,53.5055051,-113.4487169,AVONMORE,1,1,1869.0_2,neighbourhood,0.51,D,0.4026315789,
136,1870.0_0_B1,B1,,0,0.0d 14:45:00,0.0d 06:00:00,,53.50977333,-113.4432727,CORONET ADDITION INDUSTRIAL,1,1,1870.0_0,neighbourhood,0.28,D,0.2210526316,FALSE
1156,1870.0_1_B1,B1,,18,18.0d 14:45:00,18.0d 06:00:00,,53.50977333,-113.4432727,CORONET ADDITION INDUSTRIAL,1,1,1870.0_1,neighbourhood,0.28,D,0.2210526316,FALSE
700,1871_0_B1,B1,,3,3.0d 14:45:00,3.0d 06:00:00,,53.47207201,-113.5684263,Bulyea Heights,1,1,1871_0,neighbourhood,0.4466666667,D,0.3526315789,FALSE
1720,1871_1_B1,B1,,19,19.0d 14:45:00,19.0d 06:00:00,,53.47207201,-113.5684263,Bulyea Heights,1,1,1871_1,neighbourhood,0.4466666667,D,0.3526315789,FALSE
701,1873_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.42050509,-113.5064178,Blackmud Creek,10,1,1873_0,neighbourhood,0.84,D,0.6631578947,FALSE
1721,1873_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.42050509,-113.5064178,Blackmud Creek,10,1,1873_1,neighbourhood,0.84,D,0.6631578947,TRUE
137,1877.0_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.50650567,-113.4507086,AVONMORE,10,1,1877.0_0,neighbourhood,0.8066666667,D,0.6368421053,FALSE
1157,1877.0_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.50650567,-113.4507086,AVONMORE,10,1,1877.0_1,neighbourhood,0.8066666667,D,0.6368421053,TRUE
2096,1885_0_A2,A2,,,2d 14:45:00,1d 06:00:00,,53.46501407,-113.5032784,Steinhauer,10,1,1885_0,roadway,1.73,D,1.3657894737,
2213,1885_1_A2,A2,,,9d 14:45:00,8d 06:00:00,,53.46501407,-113.5032784,Steinhauer,10,1,1885_1,roadway,1.73,D,1.3657894737,
2330,1885_2_A2,A2,,,16d 14:45:00,15d 06:00:00,,53.46501407,-113.5032784,Steinhauer,10,1,1885_2,roadway,1.73,D,1.3657894737,
2097,1886_0_A2,A2,,,2d 14:45:00,1d 06:00:00,,53.46393533,-113.5156731,Steinhauer,10,1,1886_0,roadway,1.5986666667,D,1.2621052632,
2214,1886_1_A2,A2,,,9d 14:45:00,8d 06:00:00,,53.46393533,-113.5156731,Steinhauer,10,1,1886_1,roadway,1.5986666667,D,1.2621052632,
2331,1886_2_A2,A2,,16,16.0d 14:45:00,16.0d 06:00:00,,53.46393533,-113.5156731,Steinhauer,1,1,1886_2,roadway,1.5986666667,D,1.2621052632,
138,1889.0_0_B1,B1,,1,1.0d 14:45:00,1.0d 06:00:00,,53.46193542,-113.4670981,TIPASKAN,1,1,1889.0_0,roadway,1.4966666667,D,1.1815789474,FALSE
1158,1889.0_1_B1,B1,,15,15.0d 14:45:00,15.0d 06:00:00,,53.46193542,-113.4670981,TIPASKAN,1,1,1889.0_1,roadway,1.4966666667,D,1.1815789474,FALSE
139,1892.0_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.483201924,-113.357345335,MAPLE RIDGE INDUSTRIAL,10,1,1892.0_0,roadway,2.1366666667,D,1.6868421053,FALSE
1159,1892.0_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.483201924,-113.357345335,MAPLE RIDGE INDUSTRIAL,10,1,1892.0_1,roadway,2.1366666667,D,1.6868421053,TRUE
2098,1893_0_0_A1,A1,,,4d 14:45:00,4d 06:00:00,,53.5276048,-113.5470072,River Valley Mayfair,1,1,1893_0,neighbourhood,6.515,D,5.1434210526,
2215,1893_0_1_A1,A1,,,11d 14:45:00,11d 06:00:00,,53.5276048,-113.5470072,River Valley Mayfair,1,1,1893_1,neighbourhood,6.515,D,5.1434210526,
2332,1893_0_2_A1,A1,,,18d 14:45:00,18d 06:00:00,,53.5276048,-113.5470072,River Valley Mayfair,1,1,1893_2,neighbourhood,6.515,D,5.1434210526,
2099,1893_1_0_A1,A1,,,4d 14:45:00,4d 06:00:00,,53.5276048,-113.5470072,River Valley Mayfair,1,1,1893_0,neighbourhood,6.515,D,5.1434210526,
2216,1893_1_1_A1,A1,,,11d 14:45:00,11d 06:00:00,,53.5276048,-113.5470072,River Valley Mayfair,1,1,1893_1,neighbourhood,6.515,D,5.1434210526,
2333,1893_1_2_A1,A1,,,18d 14:45:00,18d 06:00:00,,53.5276048,-113.5470072,River Valley Mayfair,1,1,1893_2,neighbourhood,6.515,D,5.1434210526,
2100,1893_2_0_A1,A1,,,4d 14:45:00,4d 06:00:00,,53.5276048,-113.5470072,River Valley Mayfair,1,1,1893_0,neighbourhood,6.515,D,5.1434210526,
2217,1893_2_1_A1,A1,,,11d 14:45:00,11d 06:00:00,,53.5276048,-113.5470072,River Valley Mayfair,1,1,1893_1,neighbourhood,6.515,D,5.1434210526,
2334,1893_2_2_A1,A1,,,18d 14:45:00,18d 06:00:00,,53.5276048,-113.5470072,River Valley Mayfair,1,1,1893_2,neighbourhood,6.515,D,5.1434210526,
2101,1893_3_0_A1,A1,,,4d 14:45:00,4d 06:00:00,,53.5276048,-113.5470072,River Valley Mayfair,1,1,1893_0,neighbourhood,6.515,D,5.1434210526,
2218,1893_3_1_A1,A1,,,11d 14:45:00,11d 06:00:00,,53.5276048,-113.5470072,River Valley Mayfair,1,1,1893_1,neighbourhood,6.515,D,5.1434210526,
2335,1893_3_2_A1,A1,,,18d 14:45:00,18d 06:00:00,,53.5276048,-113.5470072,River Valley Mayfair,1,1,1893_2,neighbourhood,6.515,D,5.1434210526,
140,1894.0_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.53897702,-113.4455455,FOREST HEIGHTS,10,1,1894.0_0,neighbourhood,2.7233333333,D,2.15,FALSE
1160,1894.0_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.53897702,-113.4455455,FOREST HEIGHTS,10,1,1894.0_1,neighbourhood,2.7233333333,D,2.15,TRUE
141,1896.0_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.46389669,-113.4003169,MINCHAU,10,1,1896.0_0,roadway,1.99,D,1.5710526316,FALSE
1161,1896.0_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.46389669,-113.4003169,MINCHAU,10,1,1896.0_1,roadway,1.99,D,1.5710526316,TRUE
702,1897_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.41311286,-113.4973329,Ellerslie Industrial,10,1,1897_0,roadway,0.2266666667,D,0.1789473684,FALSE
1722,1897_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.41311286,-113.4973329,Ellerslie Industrial,10,1,1897_1,roadway,0.2266666667,D,0.1789473684,TRUE
703,1898_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.49905634,-113.5119298,Allendale,10,1,1898_0,neighbourhood,2.8066666667,D,2.2157894737,FALSE
1723,1898_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.49905634,-113.5119298,Allendale,10,1,1898_1,neighbourhood,2.8066666667,D,2.2157894737,TRUE
