pk_site_id,latitude,longitude,yard,distance
11,53.46538095,-113.3947684,5,4432
14,53.41533314,-113.4674006,5,6418.8
72,53.48499448,-113.4147234,5,5772.4
100,53.47648078,-113.4318203,5,3838.6
101,53.47706533,-113.4224579,5,4669.4
128,53.4660411,-113.4728329,5,4674.2
164,53.44181187,-113.4096613,5,3938.1
165,53.44014982,-113.3985109,5,4534.1
166,53.46604928,-113.42359,5,3090.4
169,53.471585,-113.3732625,5,6979.6
170,53.47072251,-113.3732235,5,7206.1
207,53.4249867,-113.4648967,5,6481.2
217,53.47495511,-113.422836,5,4275.5
218,53.47853544,-113.424299,5,4370.7
231,53.44562432,-113.397116,5,4154.4
232,53.47406098,-113.4179049,5,4394.4
236,53.45106651,-113.3981109,5,3502.3
237,53.44011451,-113.4001857,5,4600.8
255,53.46321738,-113.3948895,5,4229.8
256,53.45953514,-113.3959923,5,4069.7
265,53.47890847,-113.4505464,5,4313.4
266,53.4813995,-113.4445099,5,4169.2
267,53.47586961,-113.4445511,5,3707.9
276,53.47925609,-113.4022577,5,6578.2
278,53.4801263,-113.3999983,5,6451.7
291,53.45275672,-113.4456286,5,1751.1
307,53.47807414,-113.4236698,5,4383.2
308,53.47925098,-113.4295846,5,4067.2
310,53.47935367,-113.4311516,5,3995.3
381,53.45182828,-113.4381028,5,1578.3
383,53.46695088,-113.4212724,5,3368.2
402,53.46369927,-113.4501914,5,2676.2
403,53.47911282,-113.4438854,5,3835.7
404,53.47431735,-113.4071166,5,6196
405,53.47069387,-113.3979464,5,5494.5
406,53.45386309,-113.4620099,5,2789
407,53.45671841,-113.4595737,5,3007.3
408,53.45687343,-113.4632328,5,3144.9
410,53.47811545,-113.3875818,5,6570
432,53.45752248,-113.5023583,5,5683.8
468,53.43896847,-113.4071036,5,4025.5
469,53.46767804,-113.4416367,5,2696.7
470,53.45581327,-113.408386,5,2890
484,53.45472483,-113.4505677,5,2178.7
534,53.42428779,-113.4630607,5,5371.1
538,53.4516189,-113.4239362,5,1624
547,53.45093514,-113.4441409,5,1691.7
548,53.45122102,-113.4407574,5,1680.1
553,53.47821022,-113.3915995,5,7001.9
557,53.44043713,-113.5038836,5,7157.7
558,53.46270509,-113.453122,5,2934.1
560,53.48370558,-113.3994332,5,6269.8
579,53.46729849,-113.4503892,5,3178.3
597,53.48042908,-113.4525123,5,4410.3
598,53.42752392,-113.4687742,5,5755.9
609,53.42520833,-113.4553127,5,4824.5
614,53.46648414,-113.4425609,5,2525.6
615,53.47314712,-113.447766,5,3620.6
618,53.45880153,-113.4955954,5,6059.6
623,53.45082585,-113.4393637,5,1713.6
624,53.44871371,-113.4392548,5,1459.5
626,53.4489733,-113.446011,5,1990.1
640,53.48335537,-113.3849588,5,7281
642,53.47865242,-113.3791748,5,7087.7
662,53.47572009,-113.3709659,5,7226.9
665,53.44449059,-113.4921947,5,5222
666,53.42479836,-113.419698,5,5145.6
674,53.45380976,-113.4997833,5,5066.1
693,53.48356597,-113.4516076,5,4919.5
696,53.45257951,-113.4610376,5,2596.8
724,53.48643348,-113.4537909,5,5085.5
773,53.47087639,-113.4185957,5,4141.1
777,53.44096431,-113.3942473,5,4861.8
781,53.46754635,-113.4223962,5,3234.4
786,53.4680613,-113.3865062,5,5743.6
787,53.42230666,-113.4668491,5,5708.8
789,53.45895751,-113.4568045,5,2643.9
793,53.44114538,-113.4013158,5,4303.3
820,53.45229309,-113.4495041,5,2677
859,53.47412343,-113.4682701,5,5002.8
862,53.47579203,-113.4586733,5,4386.7
863,53.47758279,-113.4529992,5,4210.3
906,53.47279653,-113.3993744,5,5891.1
910,53.45234693,-113.4600996,5,2450.3
953,53.4400904,-113.4415886,5,2378.8
954,53.44215484,-113.4430531,5,2321.2
967,53.46817047,-113.4043338,5,4024
969,53.48040848,-113.4302079,5,4129.8
975,53.48161951,-113.4476131,5,4155.1
976,53.45366325,-113.3962258,5,3590.4
979,53.45526058,-113.448311,5,1836.3
988,53.43205583,-113.4640388,5,5902.8
989,53.42308569,-113.4689343,5,6260.9
993,53.47394159,-113.4107927,5,6479.7
996,53.47794898,-113.4207306,5,4504.9
1001,53.48206292,-113.4132991,5,5093.5
1035,53.45299725,-113.4581005,5,2872.7
1048,53.42474558,-113.4309533,5,5388.7
1050,53.42493252,-113.4311662,5,5402.3
1058,53.44094322,-113.4526684,5,3156.1
1068,53.47893527,-113.4134385,5,5357.1
1070,53.48682407,-113.4020903,5,6265.6
1091,53.48405855,-113.4134176,5,5694.3
1092,53.47592234,-113.4407956,5,4063.6
1098,53.48545611,-113.4477429,5,4472.1
1103,53.46609391,-113.4143055,5,3310.3
1104,53.46446839,-113.400625,5,4141.5
1110,53.45038315,-113.4536069,5,2436.8
1113,53.45538745,-113.467122,5,3227.1
1118,53.42524929,-113.4606603,5,5469.7
1123,53.42945449,-113.4605923,5,5424
1124,53.43205228,-113.4609309,5,5688.8
1125,53.43206463,-113.4554252,5,5713
1132,53.46159102,-113.4018121,5,3359.5
1133,53.46938536,-113.4107342,5,3879.2
1135,53.46996222,-113.3848451,5,5714.9
1136,53.47089793,-113.3820877,5,5923.6
1137,53.47367477,-113.3802369,5,6938.4
1141,53.4635544,-113.4629976,5,3743.1
1154,53.45172026,-113.4922443,5,4776.2
1155,53.45839608,-113.4952509,5,6025.4
1161,53.42087888,-113.467405,5,5951.3
1167,53.48079517,-113.4552256,5,4701
1170,53.4430186,-113.4269189,5,2778.2
1177,53.45756451,-113.4189917,5,2455.8
1180,53.46108167,-113.4553522,5,2827.6
1181,53.46101619,-113.4516362,5,2701.2
1184,53.46414889,-113.4552433,5,3065
1201,53.44102796,-113.4436001,5,2367.7
1202,53.43910077,-113.4446028,5,2622.3
1219,53.48227402,-113.4000263,5,6908.3
1232,53.48114421,-113.4058149,5,5725.2
1272,53.45466114,-113.4096457,5,2578.4
1292,53.42915368,-113.4713192,5,5901.9
1308,53.47247757,-113.4411285,5,3074.4
1312,53.45190384,-113.4304811,5,1453.1
1313,53.47213596,-113.3919408,5,5886.9
1319,53.47005269,-113.3871047,5,5672.2
1320,53.47027557,-113.3884965,5,5555.6
1346,53.45432682,-113.3930957,5,4571
1361,53.48157221,-113.3908289,5,6812.7
1362,53.47374505,-113.3884135,5,5892.1
1363,53.47552621,-113.3872123,5,6382.2
1381,53.46635255,-113.3993752,5,4162.9
1420,53.48470116,-113.3807797,5,7402.8
1422,53.4479728,-113.4325536,5,1476.8
1423,53.44817357,-113.4233141,5,2059.6
1424,53.45208637,-113.425887,5,1475.7
1435,53.44120747,-113.4595298,5,3287.4
1436,53.44298538,-113.4577692,5,3115.3
1438,53.44805732,-113.4152553,5,2688.3
1447,53.47401729,-113.4594378,5,4223.3
1449,53.47033728,-113.4148232,5,3749.5
1450,53.46912852,-113.4624634,5,4349.8
1451,53.47182007,-113.4430238,5,3143
1452,53.4631616,-113.4618949,5,3386.2
1453,53.46072409,-113.462334,5,3536.2
1457,53.4255926,-113.4703023,5,6027.2
1461,53.47250303,-113.3764284,5,6581.4
1479,53.43971695,-113.4198469,5,3563.1
1488,53.46576161,-113.4081712,5,3833
1493,53.43871656,-113.4530145,5,3218.5
1497,53.47941443,-113.4545691,5,4459.1
